step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_amount,dim_salt_vs_pepper
10,-2.3896972685304845,-3.467824884487724,0.36,15,3.7609102338773193,4.6241281065785,0.41716134801703686,-1.3164191246032715,-1.4305124977909145e-06,1.592301607131958,-5.07732924835981,-2.3896972685304845,1.6095043638720856,0.22484339351519492,0.14294951827286764
11,-0.14906360814656586,-1.936223163031598,0.856,604,0.24139624332108026,0.2946903621380061,0.028317664032924034,-3.2974250316619873,-0.0008289075922220945,1.602898359298706,-3.538821140854514,-0.14906360814656586,1.6025979778229158,0.01,0.8280409188505519
12,-0.6413143046032087,-1.7424307654382731,0.726,349,0.8429831905461994,0.9446627517381406,0.05878500065389902,-2.7198076248168945,-2.3841860752327193e-07,1.8214805126190186,-3.5627906353756353,-0.6413143046032087,1.8203598699373622,0.03776714331619758,0.6281435410011074
13,-0.1794621172774433,-2.0956709265458295,0.887,77,0.19008032745484646,0.27114978692000297,0.032052157120678354,-3.427340269088745,-0.004251205362379551,1.5227643251419067,-3.6174207899085093,-0.1794621172774433,1.52174986336268,0.01,0.01
14,-0.5091008624814592,-1.7128461842131792,0.756,349,0.6548005821848448,0.7265704512277684,0.042598122648921884,-2.84527587890625,-2.3841860752327193e-07,1.7880127429962158,-3.500076546142558,-0.5091008624814592,1.7872303619293786,0.02901731229462355,0.6024291278510759
15,-0.35026070782525337,-1.7870203720632682,0.813,349,0.4306257529459643,0.4707940939503282,0.024375733009828694,-3.068028450012207,-1.3947584193374496e-05,1.7113834619522095,-3.498654268089993,-0.35026070782525337,1.7116338960267248,0.018850671821357703,0.5580835520811218
16,-0.541687502824849,-1.7262161158157063,0.741,349,0.7515149211031469,0.8613320476915628,0.061853529494246065,-2.781012773513794,-1.1920935776288388e-06,1.8072178363800049,-3.5325277872890966,-0.541687502824849,1.8063116714733902,0.0330053358465286,0.6759321487787433
17,-0.4882963630082785,-1.8276638037151203,0.72,604,0.9156537318448136,1.2260776180279045,0.14131013057990652,-2.7317123413085938,-6.85476916260086e-05,1.8308743238449097,-3.647366081123455,-0.4882963630082785,1.8197022774083347,0.03750930877849755,0.99
18,-0.5841779316290329,-1.749185037332214,0.759,349,0.6958877525974851,0.7555045680191241,0.03452835415014616,-2.8415205478668213,-1.1920930376163597e-07,1.7883259057998657,-3.5374083052964154,-0.5841779316290329,1.7882232679642014,0.03174376160315344,0.5081982515031374
19,-0.5333319915437088,-1.718507749072994,0.741,349,0.7415944566151149,0.8508351974541771,0.06135452993695374,-2.7826220989227295,-7.152560215217818e-07,1.8061292171478271,-3.5242165203897744,-0.5333319915437088,1.8057087713167803,0.0325225511184519,0.6790858904909577
20,-0.5296059104080764,-1.7388425460150527,0.747,349,0.7369377568784742,0.8456396262464668,0.061240009936717237,-2.797189950942993,-9.536747711536009e-07,1.795728325843811,-3.5341277273338396,-0.5296059104080764,1.795285181318787,0.032246798670488686,0.6796430533067109
21,-0.5415990085482805,-1.7235255305007675,0.746,349,0.7390881783910307,0.8408395659689906,0.05758271697140407,-2.7839713096618652,-2.861027041944908e-06,1.800599455833435,-3.523059359859287,-0.5415990085482805,1.7995338293585197,0.03263741815510376,0.6581201518708916
22,-0.357917425925232,-1.9336666478561326,0.663,528,1.3702099674481263,1.9436922731422812,0.22767706677675148,-2.4113001823425293,-7.629423635080457e-06,1.8470309972763062,-3.7815100612606325,-0.357917425925232,1.8478434134044999,0.07642888605057827,0.01
23,-0.288918274024547,-1.8009470189718157,0.744,528,0.8426093318835595,1.1963434620454445,0.1401491941351942,-2.7579052448272705,-0.0005168461939319968,1.8011136054992676,-3.6005148248471777,-0.288918274024547,1.799567805875362,0.04588571602294777,0.01
